experiment,method,variable,mean,sd,q05,median,q95
crypto_gaussian_k2_rollstd,online_feature,trace_Sigma_1,8.123968155043466,0.5098057635836378,7.275799679756164,8.130002975463867,8.983561420440674
crypto_gaussian_k2_rollstd,online_feature,mu_1_0,0.017690529660987,0.07227381939623909,-0.09315523840487003,0.01582929026335478,0.14117455407977092
crypto_gaussian_k2_rollstd,online_feature,mu_1_1,0.041388988044179446,0.0791365936578433,-0.09902615025639534,0.04573933966457844,0.1540424734354019
crypto_gaussian_k2_rollstd,online_feature,mu_1_2,0.09441722566927117,0.08710198203042209,-0.048556612245738505,0.08343538269400597,0.23767696544527994
crypto_gaussian_k2_rollstd,online_feature,mu_1_3,0.08042992217233405,0.1334022318135074,-0.07616945244371891,0.03161879535764456,0.3390382736921309
crypto_gaussian_k2_rollstd,online_feature,mu_1_4,0.0522370762873574,0.05889690194355174,-0.03684815745800733,0.04763270355761051,0.14438783153891557
crypto_btc_eth_gaussian_k2_fullcov,uniform,pi_0,0.48297169783285687,0.029463221513883784,0.4299130454659462,0.48727285861968994,0.5226842284202575
crypto_btc_eth_gaussian_k2_fullcov,uniform,A_00,0.7604185772793634,0.014445030513994655,0.7350102186203002,0.7604607343673706,0.7832672357559204
crypto_btc_eth_gaussian_k2_fullcov,uniform,trace_Sigma_0,0.6967991228614535,0.09852323287821876,0.5462883144617081,0.698643833398819,0.8475608855485915
crypto_btc_eth_gaussian_k2_fullcov,uniform,mu_0_0,-0.011992176142354895,0.028195880332834513,-0.06085650473833084,-0.009691768791526556,0.03110874546691765
crypto_btc_eth_gaussian_k2_fullcov,uniform,mu_0_1,-0.03129310903106151,0.026720501958877114,-0.07173706479370594,-0.03463364392518997,0.019321894086897346
crypto_btc_eth_gaussian_k2_fullcov,uniform,pi_1,0.5170283130237034,0.029463219482563873,0.4773157984018326,0.5127271413803101,0.5700869560241699
crypto_btc_eth_gaussian_k2_fullcov,uniform,A_11,0.7755462510245187,0.021978045479614496,0.7468031257390976,0.7712595164775848,0.8185681641101837
crypto_btc_eth_gaussian_k2_fullcov,uniform,trace_Sigma_1,3.133040348121098,0.16653159730963593,2.8695260167121885,3.1079673767089844,3.3909389734268185
